"","PRIMARY_KEY","ORGANIZATION_NAME","SUB_BUILDING_NAME","BUILDING_NAME","NUMBER","PRIMARY_THORFARE","ALT_THORFARE","SECONDARY_THORFARE","LOCALITY","TOWNLAND","TOWN","COUNTY","POSTCODE","X_CORDINATE","Y_CORDINATE"
"855228",855228,"","","","59","DOWLAND ROAD","","","FRUITHILL","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HR",268218,424874
"855430",855430,"","","","30","DROMORE AVENUE","","","","DROMORE","LIMAVADY","LONDONDERRY","BT499LX",265252,420194
"855431",855431,"","APARTMENT B","","5","LODGE COURT","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EY",266899,423197
"855432",855432,"","","","4","GRANGE PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AW",267441,422675
"855435",855435,"","","","40","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490NU",268089,422086
"855436",855436,"","","","182","MEADOWVALE PARK","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268377,421949
"855437",855437,"","","","11","GRANGE PARK","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AW",267443,422722
"855438",855438,"UNISNIP HAIRDRESSING","","","8","LINENHALL STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266983,423033
"855439",855439,"","","","26","JOSEPHINE AVENUE","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BA",267157,422473
"855441",855441,"","","","18","GLENMORE GARDENS","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490RT",267731,422114
"855444",855444,"","","","26","THORNDALE","","","","ENAGH","LIMAVADY","LONDONDERRY","BT490ST",268117,421980
"855445",855445,"","","","10","RATHMORE ROAD","","","","RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DF",267858,423345
"855446",855446,"","","","80","GLENVIEW DRIVE","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490RZ",267689,421879
